
2025/03/31 (17:33:11) | ===> btop++ v.1.4.0
2025/03/31 (17:33:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (16:54:09) | ===> btop++ v.1.4.0
2025/04/04 (16:54:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (11:18:08) | ===> btop++ v.1.4.0
2025/04/05 (11:18:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (21:30:31) | ===> btop++ v.1.4.0
2025/04/07 (21:30:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (12:18:30) | ===> btop++ v.1.4.0
2025/04/08 (12:18:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (12:18:46) | ===> btop++ v.1.4.0
2025/04/08 (12:18:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (12:18:58) | ===> btop++ v.1.4.0
2025/04/08 (12:18:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (12:19:19) | ===> btop++ v.1.4.0
2025/04/08 (12:19:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (18:40:30) | ===> btop++ v.1.4.0
2025/04/08 (18:40:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (21:11:56) | ===> btop++ v.1.4.0
2025/04/08 (21:11:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (21:36:37) | ===> btop++ v.1.4.0
2025/04/08 (21:36:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (21:13:57) | ===> btop++ v.1.4.0
2025/04/11 (21:13:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (11:57:04) | ===> btop++ v.1.4.0
2025/04/12 (11:57:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (17:02:36) | ===> btop++ v.1.4.0
2025/04/13 (17:02:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (17:02:48) | ===> btop++ v.1.4.0
2025/04/16 (17:02:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (19:06:54) | ===> btop++ v.1.4.0
2025/04/23 (19:06:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/02 (03:47:52) | ===> btop++ v.1.4.0
2025/05/02 (03:47:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/03 (21:24:40) | ===> btop++ v.1.4.0
2025/05/03 (21:24:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/04 (16:06:43) | ===> btop++ v.1.4.0
2025/05/04 (16:06:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/04 (16:09:15) | ===> btop++ v.1.4.0
2025/05/04 (16:09:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/04 (16:14:39) | ===> btop++ v.1.4.0
2025/05/04 (16:14:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/20 (23:23:19) | ===> btop++ v.1.4.0
2025/05/20 (23:23:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/22 (23:40:08) | ===> btop++ v.1.4.0
2025/05/22 (23:40:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/23 (00:49:00) | ===> btop++ v.1.4.0
2025/05/23 (00:49:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/13 (04:23:03) | ===> btop++ v.1.4.0
2025/06/13 (04:23:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/13 (22:05:49) | ===> btop++ v.1.4.0
2025/06/13 (22:05:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/15 (16:24:49) | ===> btop++ v.1.4.0
2025/06/15 (16:24:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/17 (03:12:05) | ===> btop++ v.1.4.0
2025/06/17 (03:12:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/17 (18:45:08) | ===> btop++ v.1.4.0
2025/06/17 (18:45:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/20 (01:22:39) | ===> btop++ v.1.4.0
2025/06/20 (01:22:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/20 (05:46:56) | ===> btop++ v.1.4.0
2025/06/20 (05:46:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/02 (23:17:57) | ===> btop++ v.1.4.0
2025/07/02 (23:17:57) | WARNING: Intel GPU: Failed to initialize PMU
